scan_id,scan_date,scan_time,data_date,code,name,market,symbol,grade,score,reasons,close,volume,vol_ratio,dif,dea,hist,ma5,ma10,ma20,ma60,bb_upper,bb_mid,bb_lower,bb_width,buy_note,stop_note,target_note,cond_macd_gc,cond_first_red,cond_ma5_ma10_gc,cond_above_ma60,cond_ma60_up,cond_vol_expand,cond_boll_breakout,cond_price_above_ma20,ret_3d,ret_5d,ret_10d,success_5d,type,open,high,low,aggressive_buy_price,pullback_buy_price,conservative_buy_price,wave_buy_price,sell_price_1,sell_price_2,stop_loss_short,stop_loss_wave,stop_loss_hard,support_1,support_2,support_3,resistance_1,resistance_2,recent_low_20,cond_close_above_recent_high,rsi14,cond_a1_ma20_up,cond_a1_above_ma60,cond_a1_macd_first_red,cond_a1_ma5_cross_ma10,cond_a1_breakout_20d,cond_a1_vol_expand,cond_a1_red_candle,cond_a2_ma60_up,cond_a2_bullish_alignment,cond_a2_pullback_to_ma,cond_a2_macd_positive,cond_a2_vol_shrink,cond_a2_higher_lows
2026-03-21_2368,2026-03-21,2026-03-21 09:50:00,2026-03-20,2368,金像電,上市,2368.TW,C,39,站上季線、季線向上、量增、股價站上20日線,988.0,25370966,2.2,62.1566,48.6822,13.4744,947.2,905.8,849.95,731.82,1009.58,849.95,690.32,0.3756,買點：先等站穩季線 731.82 或 MACD 更明確轉強。,停損：若跌破 20 日線 849.95 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-6.68,-6.48,-6.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_3591,2026-03-21,2026-03-21 09:50:25,2026-03-20,3591,艾笛森,上市,3591.TW,C,39,站上季線、季線向上、量增、股價站上20日線,21.3,13639853,2.11,0.4683,0.0608,0.4076,20.74,19.45,19.02,19.11,21.68,19.02,16.35,0.2803,買點：先等站穩季線 19.11 或 MACD 更明確轉強。,停損：若跌破 20 日線 19.02 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.64,-4.69,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_6112,2026-03-21,2026-03-21 09:50:47,2026-03-20,6112,邁達特,上市,6112.TW,C,39,站上季線、季線向上、量增、股價站上20日線,48.0,2532934,1.88,0.6658,0.3272,0.3386,47.98,47.31,46.35,46.4,49.99,46.35,42.71,0.1571,買點：先等站穩季線 46.40 或 MACD 更明確轉強。,停損：若跌破 20 日線 46.35 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-6.46,-6.77,-4.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_2027,2026-03-21,2026-03-21 09:49:55,2026-03-20,2027,大成鋼,上市,2027.TW,C,39,站上季線、季線向上、量增、股價站上20日線,37.5,40152668,1.76,0.0507,-0.031,0.0817,37.34,37.06,37.02,36.79,37.98,37.02,36.07,0.0517,買點：先等站穩季線 36.79 或 MACD 更明確轉強。,停損：若跌破 20 日線 37.02 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.47,-2.4,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_6670,2026-03-21,2026-03-21 09:51:02,2026-03-20,6670,復盛應用,上市,6670.TW,C,39,站上季線、季線向上、量增、股價站上20日線,281.0,564786,1.7,2.3713,1.5763,0.795,278.1,275.05,271.7,268.11,282.35,271.7,261.05,0.0784,買點：先等站穩季線 268.11 或 MACD 更明確轉強。,停損：若跌破 20 日線 271.70 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.25,-4.63,-8.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_3219,2026-03-21,2026-03-21 09:50:18,2026-03-20,3219,倚強科,上櫃,3219.TWO,C,39,站上季線、季線向上、量增、股價站上20日線,68.8,584083,1.51,0.4927,-0.2417,0.7345,66.48,64.2,64.61,65.26,72.25,64.61,56.97,0.2365,買點：先等站穩季線 65.26 或 MACD 更明確轉強。,停損：若跌破 20 日線 64.61 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.78,-3.34,-10.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_3236,2026-03-21,2026-03-21 09:50:19,2026-03-20,3236,千如,上櫃,3236.TWO,C,39,站上季線、季線向上、量增、股價站上20日線,33.9,11735936,1.48,0.2623,-0.37,0.6323,31.65,29.44,30.14,30.71,34.83,30.14,25.44,0.3115,買點：先等站穩季線 30.71 或 MACD 更明確轉強。,停損：若跌破 20 日線 30.14 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-8.41,-12.54,-12.68,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_3693,2026-03-21,2026-03-21 09:50:27,2026-03-20,3693,營邦,上櫃,3693.TWO,C,39,站上季線、季線向上、量增、股價站上20日線,535.0,10022630,1.46,40.4767,28.0431,12.4336,523.8,468.15,441.15,369.09,557.81,441.15,324.49,0.5289,買點：先等站穩季線 369.09 或 MACD 更明確轉強。,停損：若跌破 20 日線 441.15 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-4.86,-6.54,-6.92,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_4977,2026-03-21,2026-03-21 09:50:39,2026-03-20,4977,眾達-KY,上市,4977.TW,C,39,站上季線、季線向上、量增、股價站上20日線,200.5,28278553,1.37,14.1982,11.4183,2.7799,189.0,176.95,166.65,143.38,205.4,166.65,127.9,0.465,買點：先等站穩季線 143.38 或 MACD 更明確轉強。,停損：若跌破 20 日線 166.65 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-0.5,-0.25,-6.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_5386,2026-03-21,2026-03-21 09:50:43,2026-03-20,5386,青雲,上櫃,5386.TWO,C,39,站上季線、季線向上、量增、股價站上20日線,397.0,691056,1.34,71.5422,58.9128,12.6293,395.9,350.05,278.35,152.36,444.23,278.35,112.47,1.1919,買點：先等站穩季線 152.36 或 MACD 更明確轉強。,停損：若跌破 20 日線 278.35 宜保守。,目標：以觀察為主，暫不主動追價。,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-19.14,-34.38,-23.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
